request_id,student_id,book_id,loan_date,return_date
251,4163,71,2023-07-02,2023-07-30
252,3237,10,2023-04-05,2023-04-30
253,4897,67,2019-08-11,2019-09-07
254,2426,6,2021-08-26,2021-09-23
255,2837,60,2019-05-15,2019-06-08
256,4634,71,2023-02-27,2023-03-10
257,2574,82,2021-07-27,2021-08-06
258,3669,64,2020-04-12,2020-05-01
259,1996,32,2023-03-11,2023-03-27
260,3192,95,2024-01-29,2024-02-13
261,3621,88,2020-01-21,2020-02-06
262,4384,54,2019-11-03,2019-11-19
263,3537,12,2024-01-07,2024-01-18
264,2990,61,2021-09-24,2021-10-04
265,1477,22,2022-10-20,2022-11-10
266,1279,73,2021-01-20,2021-02-06
267,1127,35,2022-11-12,2022-11-22
268,1491,1,2022-02-25,2022-03-21
269,2894,21,2023-05-13,2023-05-26
270,3379,71,2021-08-06,2021-08-15
271,2820,59,2020-04-09,2020-05-09
272,4787,75,2023-08-15,2023-08-30
273,4679,65,2019-10-29,2019-11-14
274,2219,10,2024-01-04,2024-01-20
275,4884,64,2021-01-30,2021-02-13
276,1581,69,2023-11-30,2023-12-09
277,3526,100,2019-08-29,2019-09-14
278,4134,1,2022-09-25,2022-10-25
279,4754,17,2019-08-19,2019-08-31
280,3965,87,2023-03-08,2023-04-07
281,2567,66,2021-05-31,2021-06-08
282,3939,65,2022-06-08,2022-06-22
283,3714,53,2022-04-26,2022-05-22
284,1488,20,2023-08-29,2023-09-26
285,4028,60,2020-01-12,2020-01-29
286,1315,84,2023-06-02,2023-06-10
287,4201,82,2024-01-27,2024-02-08
288,2444,23,2020-08-29,2020-09-13
289,3818,2,2023-03-20,2023-04-03
290,4148,66,2022-05-14,2022-05-31
291,3574,99,2020-01-31,2020-02-10
292,4332,39,2021-06-16,2021-07-10
293,3543,74,2024-03-29,2024-04-05
294,3341,48,2021-06-17,2021-07-06
295,2955,87,2020-07-02,2020-07-16
296,2438,6,2019-10-18,2019-11-03
297,2034,67,2020-05-27,2020-06-21
298,1907,70,2021-06-28,2021-07-10
299,2467,26,2021-01-21,2021-02-14
300,1615,66,2021-12-07,2021-12-19
301,3332,41,2022-01-23,2022-02-17
302,3453,90,2022-08-12,2022-09-03
303,4310,45,2022-07-19,2022-07-30
304,4209,83,2022-06-23,2022-07-13
305,2728,39,2021-04-25,2021-05-20
306,4739,20,2023-01-09,2023-01-18
307,1174,4,2023-05-03,2023-05-10
308,2620,97,2023-10-25,2023-11-20
309,1846,95,2020-09-10,2020-09-23
310,2994,8,2021-08-13,2021-08-26
311,3728,6,2022-10-21,2022-10-31
312,1870,47,2021-06-12,2021-06-20
313,3017,64,2022-07-12,2022-07-30
314,2333,32,2024-02-05,2024-03-05
315,3333,74,2020-05-22,2020-06-11
316,2823,25,2023-06-17,2023-07-01
317,2751,79,2020-09-18,2020-09-29
318,1140,78,2024-01-22,2024-02-10
319,3092,46,2020-10-07,2020-10-19
320,3814,46,2023-12-25,2024-01-05
321,2452,22,2019-07-08,2019-07-24
322,2521,47,2019-07-25,2019-08-10
323,1726,91,2022-08-08,2022-08-27
324,4401,76,2021-07-10,2021-07-23
325,4318,94,2021-09-03,2021-09-23
326,1859,68,2020-03-22,2020-04-04
327,1278,59,2019-07-18,2019-08-10
328,3041,80,2023-04-04,2023-04-27
329,3019,75,2021-01-27,2021-02-09
330,2628,24,2021-04-21,2021-05-10
331,1157,82,2020-01-19,2020-01-27
332,4556,82,2024-04-24,2024-05-06
333,4500,19,2019-12-27,2020-01-15
334,1366,27,2022-09-18,2022-10-09
335,3726,31,2024-02-10,2024-03-04
336,4147,48,2023-05-28,2023-06-22
337,4890,52,2021-12-17,2021-12-31
338,2087,98,2023-06-04,2023-06-11
339,4591,100,2022-10-24,2022-11-07
340,2140,40,2020-11-26,2020-12-24
341,3483,5,2023-01-19,2023-01-30
342,3491,43,2021-07-21,2021-08-08
343,4517,100,2022-07-25,2022-08-14
344,4328,28,2021-02-02,2021-02-16
345,4319,90,2021-05-27,2021-06-18
346,2551,8,2022-01-15,2022-02-02
347,4587,22,2022-01-17,2022-02-04
348,1080,8,2019-09-20,2019-10-01
349,3405,20,2021-08-31,2021-09-24
350,3026,72,2019-09-23,2019-10-03
351,3527,82,2022-03-25,2022-04-21
352,3527,74,2022-04-05,2022-05-02
353,4846,68,2022-10-07,2022-10-25
354,4758,48,2020-10-15,2020-10-27
355,2693,80,2021-11-11,2021-11-21
356,1112,62,2022-12-15,2022-12-26
357,4547,51,2023-06-05,2023-06-17
358,2151,1,2022-07-19,2022-07-26
359,2046,60,2023-04-07,2023-04-29
360,3444,88,2019-10-21,2019-11-08
361,2256,47,2022-04-16,2022-04-28
362,2589,46,2023-08-23,2023-09-03
363,1829,23,2020-12-19,2021-01-18
364,4980,8,2023-05-01,2023-05-22
365,4085,51,2020-01-02,2020-01-27
366,1346,56,2020-11-22,2020-11-29
367,1491,65,2022-10-24,2022-11-06
368,4454,82,2020-03-01,2020-03-08
369,3845,76,2021-04-11,2021-04-24
370,2924,70,2024-02-24,2024-03-17
371,3615,3,2020-10-28,2020-11-04
372,4247,51,2020-08-02,2020-08-23
373,1678,10,2020-05-21,2020-06-08
374,1667,9,2019-08-08,2019-08-25
375,4825,61,2021-10-20,2021-11-17
376,4937,24,2024-02-28,2024-03-17
377,2974,35,2022-11-01,2022-11-18
378,3389,86,2020-08-13,2020-09-09
379,1809,20,2020-08-20,2020-09-09
380,3458,67,2021-04-22,2021-05-14
381,3445,12,2020-06-21,2020-07-21
382,4940,98,2022-06-16,2022-06-30
383,2808,8,2020-05-29,2020-06-28
384,2734,48,2023-02-14,2023-03-06
385,3564,45,2021-03-31,2021-04-30
386,2690,12,2022-08-07,2022-08-29
387,2788,10,2020-02-10,2020-02-22
388,1535,66,2023-05-01,2023-05-24
389,2689,12,2023-10-16,2023-10-28
390,1046,78,2021-09-18,2021-09-29
391,2789,40,2021-11-23,2021-12-05
392,1125,47,2020-02-04,2020-02-24
393,2347,45,2020-03-23,2020-04-01
394,3893,8,2022-01-08,2022-01-22
395,3085,79,2023-03-28,2023-04-04
396,4760,90,2021-10-29,2021-11-20
397,4535,87,2019-10-27,2019-11-26
398,3145,69,2023-03-09,2023-03-23
399,3369,20,2023-09-29,2023-10-17
400,2276,88,2024-04-26,2024-05-18
401,3802,26,2022-12-27,2023-01-17
402,1528,53,2022-05-28,2022-06-05
403,3376,4,2019-11-02,2019-11-19
404,1444,9,2021-10-11,2021-10-30
405,4291,75,2023-03-11,2023-03-20
406,1756,75,2020-07-05,2020-07-25
407,1819,94,2022-05-09,2022-05-29
408,1481,32,2019-09-26,2019-10-17
409,2809,66,2020-10-07,2020-10-31
410,4727,21,2021-10-15,2021-11-04
411,2536,35,2022-06-02,2022-06-21
412,2051,60,2020-10-29,2020-11-13
413,2112,28,2021-10-08,2021-10-29
414,1586,51,2020-06-23,2020-07-07
415,2724,65,2024-02-20,2024-03-14
416,2667,3,2022-03-27,2022-04-26
417,4022,29,2020-08-27,2020-09-26
418,3690,71,2020-10-12,2020-10-22
419,3673,59,2022-05-05,2022-05-29
420,4199,14,2023-09-27,2023-10-19
421,4130,44,2019-07-21,2019-08-11
422,3203,2,2020-10-03,2020-10-25
423,4377,26,2020-05-13,2020-06-02
424,2687,60,2022-11-30,2022-12-26
425,4862,27,2020-12-01,2020-12-26
426,1529,6,2019-12-28,2020-01-18
427,2701,29,2023-06-11,2023-06-23
428,4259,99,2019-12-31,2020-01-11
429,2923,64,2023-01-29,2023-02-24
430,3016,61,2023-11-28,2023-12-22
431,4176,72,2020-11-01,2020-11-22
432,2634,45,2021-05-31,2021-06-26
433,3814,38,2021-02-15,2021-02-25
434,1594,50,2021-11-18,2021-11-30
435,1254,36,2023-02-25,2023-03-18
436,3842,73,2022-10-17,2022-10-27
437,2898,60,2021-07-26,2021-08-14
438,2303,92,2020-04-28,2020-05-17
439,1072,53,2020-10-23,2020-11-18
440,2344,62,2022-04-02,2022-04-16
441,4155,3,2023-09-26,2023-10-13
442,2571,61,2020-01-17,2020-01-25
443,4786,66,2022-08-17,2022-09-03
444,2680,72,2020-06-14,2020-06-23
445,2403,7,2020-12-23,2021-01-21
446,4174,6,2023-05-23,2023-06-17
447,2640,39,2020-05-29,2020-06-05
448,4415,65,2023-08-07,2023-09-05
449,1614,54,2023-03-12,2023-04-11
450,4275,97,2019-09-20,2019-10-11
451,1581,52,2024-02-05,2024-02-12
452,3707,12,2020-12-22,2021-01-08
453,1774,86,2019-07-16,2019-07-25
454,4329,18,2023-07-06,2023-07-23
455,3868,19,2019-06-20,2019-07-19
456,1609,6,2020-08-05,2020-08-18
457,1423,12,2020-11-23,2020-12-06
458,4512,72,2021-08-14,2021-08-30
459,1828,48,2020-03-20,2020-04-19
460,2850,54,2021-09-18,2021-10-06
461,4100,78,2023-02-25,2023-03-19
462,3806,79,2019-10-29,2019-11-08
463,2236,89,2021-05-04,2021-06-03
464,4476,71,2020-11-02,2020-11-14
465,4597,38,2019-10-12,2019-10-30
466,1311,55,2020-09-13,2020-10-09
467,4505,61,2020-10-18,2020-11-01
468,4438,86,2021-09-30,2021-10-21
469,3134,38,2020-01-14,2020-01-29
470,3122,3,2022-04-05,2022-04-25
471,3113,46,2020-08-10,2020-09-07
472,1106,2,2021-09-02,2021-09-15
473,3646,1,2023-02-27,2023-03-25
474,4244,32,2020-07-17,2020-08-04
475,4127,4,2020-05-03,2020-05-19
476,3972,83,2020-12-10,2020-12-28
477,4557,91,2021-08-19,2021-09-09
478,2851,33,2019-07-16,2019-08-11
479,3821,45,2023-05-16,2023-06-15
480,1581,92,2023-04-11,2023-05-10
481,1377,89,2019-05-28,2019-06-16
482,2923,16,2022-08-22,2022-09-12
483,4253,66,2023-09-19,2023-10-07
484,3290,33,2020-10-29,2020-11-11
485,2735,46,2022-06-11,2022-07-07
486,2071,42,2022-03-05,2022-03-26
487,1657,12,2020-07-04,2020-07-18
488,1842,88,2023-01-24,2023-02-21
489,1136,3,2020-09-28,2020-10-12
490,2869,82,2020-07-14,2020-07-21
491,3534,16,2019-10-22,2019-11-13
492,1943,79,2020-02-09,2020-02-17
493,2050,89,2021-05-07,2021-06-01
494,2873,36,2021-08-09,2021-09-03
495,3695,4,2021-02-07,2021-03-08
496,3647,13,2019-06-24,2019-07-06
497,2774,40,2020-12-02,2020-12-13
498,2701,21,2021-10-10,2021-11-02
499,1793,35,2023-10-01,2023-10-26
500,2520,62,2022-11-22,2022-12-03
501,3177,82,2021-12-09,2021-12-22
502,3862,82,2022-02-09,2022-02-24
503,4554,54,2023-03-14,2023-03-30
504,3128,60,2022-08-14,2022-08-22
505,2067,61,2022-04-05,2022-04-26
506,2770,90,2020-06-23,2020-07-18
507,3146,29,2019-07-18,2019-08-01
508,2102,40,2023-06-20,2023-07-14
509,1783,33,2020-06-04,2020-06-29
510,3418,32,2024-03-10,2024-03-23
511,4536,42,2023-10-24,2023-11-05
512,3203,25,2020-12-11,2020-12-30
513,4164,90,2020-03-05,2020-03-17
514,4153,3,2020-07-09,2020-07-19
515,4884,30,2021-08-10,2021-08-26
516,3895,78,2021-04-25,2021-05-07
517,4117,86,2022-10-05,2022-10-13
518,3855,74,2020-11-20,2020-11-30
519,3879,80,2020-07-27,2020-08-23
520,2537,1,2023-05-17,2023-05-31
521,2300,58,2021-01-16,2021-02-14
522,2623,24,2023-10-07,2023-10-15
523,2404,99,2021-04-14,2021-05-10
524,2585,81,2021-07-11,2021-08-05
525,2033,7,2019-10-09,2019-11-06
526,2501,5,2022-02-19,2022-03-06
527,1863,47,2020-07-13,2020-07-30
528,2750,85,2021-04-24,2021-05-03
529,3578,23,2021-03-04,2021-03-18
530,3766,60,2021-02-14,2021-03-07
531,2474,86,2022-12-29,2023-01-10
532,3410,89,2024-05-06,2024-05-25
533,4446,13,2020-12-28,2021-01-07
534,4667,96,2020-02-04,2020-02-15
535,2008,31,2021-05-27,2021-06-15
536,2615,99,2020-05-03,2020-05-21
537,1466,48,2022-12-05,2022-12-14
538,2700,77,2020-06-02,2020-06-15
539,1498,8,2019-09-05,2019-09-29
540,4541,58,2020-09-28,2020-10-15
541,3945,46,2024-01-04,2024-01-27
542,3363,39,2024-03-07,2024-04-05
543,2208,43,2022-09-05,2022-09-23
544,3718,77,2019-09-09,2019-09-26
545,3689,70,2024-01-07,2024-01-23
546,3364,54,2023-10-16,2023-11-11
547,1049,5,2021-11-26,2021-12-08
548,2381,53,2021-07-11,2021-07-26
549,2055,87,2019-05-24,2019-05-31
550,1025,33,2022-02-27,2022-03-24
551,4337,26,2019-10-24,2019-10-31
552,2855,87,2021-04-05,2021-04-17
553,2394,84,2021-10-21,2021-10-30
554,4483,48,2021-08-16,2021-09-10
555,2003,49,2022-02-13,2022-03-08
556,2928,45,2019-08-04,2019-08-29
557,3449,30,2021-12-01,2021-12-28
558,1925,15,2020-06-11,2020-07-08
559,4444,24,2023-04-03,2023-04-27
560,1403,83,2023-05-27,2023-06-22
561,4348,42,2019-12-03,2019-12-21
562,4283,67,2024-03-30,2024-04-09
563,4995,100,2020-09-09,2020-09-21
564,2464,7,2024-01-20,2024-02-03
565,3614,38,2019-10-07,2019-10-21
566,4443,52,2020-01-06,2020-01-16
567,4990,51,2021-06-02,2021-06-25
568,2682,75,2020-02-08,2020-02-16
569,1529,79,2021-04-09,2021-04-22
570,1515,37,2019-12-25,2020-01-14
571,3135,44,2020-08-17,2020-08-30
572,2890,51,2019-05-22,2019-06-07
573,3858,17,2023-08-16,2023-09-07
574,4641,70,2019-12-09,2019-12-18
575,3169,24,2022-02-26,2022-03-21
576,2114,79,2020-07-13,2020-07-31
577,2697,14,2023-05-11,2023-05-22
578,1216,18,2020-02-08,2020-02-17
579,2067,45,2019-05-19,2019-06-02
580,4892,43,2022-09-23,2022-10-14
581,3323,34,2021-01-24,2021-02-18
582,4128,55,2021-01-27,2021-02-12
583,2994,83,2021-02-24,2021-03-21
584,3691,81,2020-05-03,2020-05-23
585,1357,59,2022-01-10,2022-01-20
586,2656,77,2022-03-16,2022-04-11
587,4185,17,2019-12-16,2020-01-05
588,3082,58,2021-08-02,2021-08-20
589,4154,62,2024-04-14,2024-05-11
590,3452,34,2023-07-23,2023-08-09
591,4775,79,2021-10-20,2021-11-01
592,1846,99,2019-08-28,2019-09-06
593,2256,3,2023-08-04,2023-08-23
594,2424,52,2022-06-08,2022-06-18
595,2815,22,2020-06-13,2020-07-01
596,2936,71,2024-01-17,2024-02-15
597,3919,13,2023-11-21,2023-12-07
598,1130,15,2023-02-24,2023-03-11
599,1968,84,2023-05-12,2023-05-22
600,1128,93,2019-10-03,2019-10-23
601,3459,18,2023-01-04,2023-01-26
602,2234,93,2023-09-09,2023-09-22
603,1804,15,2020-08-18,2020-09-15
604,2699,30,2023-12-14,2024-01-02
605,4344,25,2023-06-11,2023-06-30
606,4724,27,2021-04-29,2021-05-21
607,4626,52,2019-11-15,2019-12-05
608,1115,51,2020-11-05,2020-11-19
609,4132,9,2021-10-14,2021-11-07
610,3116,64,2020-07-07,2020-07-30
611,4394,70,2023-05-31,2023-06-07
612,2786,27,2022-11-21,2022-12-20
613,2635,4,2022-08-20,2022-09-06
614,1141,7,2023-07-11,2023-08-04
615,2326,3,2023-10-29,2023-11-14
616,4475,12,2023-03-15,2023-04-14
617,3266,9,2020-01-27,2020-02-26
618,2744,2,2020-10-24,2020-11-04
619,4305,48,2021-07-03,2021-08-01
620,3427,35,2019-10-13,2019-11-03
621,4298,78,2023-07-01,2023-07-16
622,1035,46,2020-08-30,2020-09-27
623,2905,15,2019-11-02,2019-12-01
624,2148,23,2020-05-20,2020-06-12
625,1477,83,2019-07-21,2019-08-17
626,4953,47,2023-08-18,2023-09-01
627,2602,7,2022-09-27,2022-10-13
628,3655,27,2022-08-06,2022-08-18
629,1636,60,2023-07-19,2023-08-01
630,3723,19,2021-10-14,2021-11-10
631,1562,98,2020-02-28,2020-03-26
632,4417,100,2024-02-17,2024-03-14
633,1082,94,2022-07-12,2022-07-21
634,1111,90,2022-04-06,2022-04-21
635,4711,75,2021-06-07,2021-06-16
636,1531,42,2020-09-12,2020-09-19
637,1023,61,2024-04-09,2024-05-03
638,4501,75,2021-05-30,2021-06-15
639,4234,44,2023-08-30,2023-09-27
640,1948,33,2022-12-08,2023-01-02
641,4471,86,2020-03-18,2020-04-04
642,3755,14,2023-02-08,2023-03-10
643,4847,87,2023-05-03,2023-05-11
644,2155,85,2021-08-28,2021-09-09
645,1169,12,2022-02-27,2022-03-17
646,1753,39,2019-09-29,2019-10-17
647,1284,79,2023-08-13,2023-09-02
648,3761,32,2022-10-28,2022-11-16
649,2755,96,2020-01-06,2020-01-21
650,2463,49,2019-12-01,2019-12-08
651,1341,9,2024-03-03,2024-03-14
652,1575,87,2020-10-16,2020-10-23
653,3169,63,2024-04-25,2024-05-06
654,4638,1,2020-10-06,2020-11-01
655,1289,79,2019-12-20,2020-01-09
656,1348,98,2019-09-16,2019-10-15
657,3206,21,2021-09-21,2021-10-10
658,2175,34,2023-07-19,2023-08-01
659,1735,55,2020-07-23,2020-08-19
660,1215,20,2023-01-18,2023-02-11
661,1096,2,2020-03-02,2020-04-01
662,3577,58,2020-06-17,2020-07-01
663,1215,25,2020-10-15,2020-11-04
